scenario,replication,seed,admission_rate,rejection_rate,avg_wait_hours,avg_machine_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_cycle_time_hours,rejection_rate_low_priority,rejection_rate_medium_priority,rejection_rate_high_priority,scrap_rate,avg_machine_downtime_fraction,n_jobs
policy_priority,13,550674675,0.953939393939394,0.12242424242424242,0.14526676933210164,0.5927173913043478,8,0.0010869565217391304,0.14130434782608695,3.7447181680906483,0.13987473903966596,0.12354651162790697,0.10351966873706005,0.06909090909090909,0.012608695652173912,1650
policy_priority,14,170068044,0.9347305389221557,0.14131736526946106,0.15130733757172155,0.5960869565217392,8,0.0010869565217391304,0.14891304347826087,3.8252187248587886,0.16194331983805668,0.1328358208955224,0.1324110671936759,0.06706586826347305,0.01956521739130435,1670
policy_priority,15,1936945061,0.9601029601029601,0.11003861003861004,0.09860838814640413,0.5772826086956521,6,0.0,0.0967391304347826,3.808418658244565,0.1416490486257928,0.0946843853820598,0.09812108559498957,0.059202059202059204,0.01891304347826087,1554
policy_priority,16,1456999543,0.9498164014687882,0.12423500611995104,0.14669874774913808,0.5978260869565217,8,0.0010869565217391304,0.14456521739130435,3.8644690279332874,0.13137254901960785,0.12214983713355049,0.11960784313725491,0.07099143206854346,0.015,1634
policy_priority,17,1076392912,0.9657577679137603,0.11857958148383006,0.15030459846111419,0.582391304347826,7,0.0,0.12173913043478261,3.833313941337,0.1301518438177874,0.11463046757164404,0.11258278145695365,0.07989854153455929,0.013804347826086957,1577
policy_priority,18,596447394,0.9498792270531401,0.1358695652173913,0.13722369357688016,0.6085869565217392,8,0.0010869565217391304,0.1391304347826087,3.9043898304322977,0.16568047337278108,0.12538699690402477,0.11928429423459244,0.07669082125603864,0.01608695652173913,1656
policy_priority,19,215840763,0.944954128440367,0.13333333333333333,0.1344562223710361,0.6033695652173914,7,0.0,0.13804347826086957,3.868121545311116,0.14583333333333334,0.14421553090332806,0.10504201680672269,0.0709480122324159,0.017608695652173913,1635
policy_priority,20,1883378893,0.9627054361567636,0.13147914032869784,0.10954663676613768,0.5760869565217391,7,0.0,0.12065217391304348,3.779349276257141,0.14376321353065538,0.13444108761329304,0.11409395973154363,0.08533501896333755,0.01684782608695652,1582
policy_priority,21,1502772262,0.9470802919708029,0.12469586374695864,0.10892147853808858,0.5879347826086956,7,0.0,0.11956521739130435,3.7606274357871583,0.1324110671936759,0.11248073959938366,0.1329243353783231,0.06326034063260341,0.017826086956521738,1644
policy_priority,22,1122165631,0.9392764857881137,0.13953488372093023,0.12645505164616655,0.5632608695652175,8,0.0010869565217391304,0.1282608695652174,3.8849539309087757,0.1284796573875803,0.15112540192926044,0.13507625272331156,0.07364341085271318,0.013260869565217392,1548
policy_priority,23,642220113,0.9641672196416722,0.1154611811546118,0.08837683068738597,0.5523913043478261,7,0.0,0.09130434782608696,3.763218504607986,0.1141439205955335,0.12752721617418353,0.09978308026030369,0.0743198407431984,0.01608695652173913,1507
policy_priority,24,261613482,0.9528061224489796,0.11989795918367346,0.09556751023493092,0.5834782608695651,6,0.0,0.10217391304347827,3.89058657826812,0.12577319587628866,0.12337662337662338,0.10920770877944326,0.06823979591836735,0.017499999999999998,1568
policy_priority,25,1929151612,0.960594315245478,0.12209302325581395,0.09304740434540382,0.5767391304347826,4,0.0,0.0967391304347826,3.8321692312264486,0.1282051282051282,0.12396694214876033,0.11368421052631579,0.0755813953488372,0.014782608695652174,1548
policy_priority,26,1548544981,0.9585459183673469,0.1288265306122449,0.11169663340829035,0.581086956521739,6,0.0,0.10869565217391304,3.848834353051894,0.1312127236580517,0.13099041533546327,0.12300683371298406,0.0778061224489796,0.014891304347826087,1568
policy_priority,27,1167938350,0.9585427135678392,0.1306532663316583,0.11293283114853915,0.5864130434782608,5,0.0,0.125,3.8215010417827173,0.12179487179487179,0.13672496025437203,0.13131313131313133,0.0835427135678392,0.014456521739130434,1592
policy_priority,28,687992832,0.9418742586002372,0.14472123368920523,0.17288017510149747,0.6222826086956522,7,0.0,0.16304347826086957,3.9242024606714003,0.14314115308151093,0.13602391629297458,0.1575875486381323,0.07769869513641756,0.014130434782608694,1686
policy_priority,29,307386201,0.9593094944512947,0.13501849568434032,0.12076275734637343,0.5915217391304348,7,0.0,0.12391304347826088,3.76344093178966,0.12629399585921325,0.1344,0.14396887159533073,0.08508014796547472,0.014021739130434783,1622
demand_surge,0,499012288,0.8791848617176128,0.195536147501213,0.3281050446139205,0.6825000000000001,8,0.002173913043478261,0.3010869565217391,3.965675963392616,0.15599343185550082,0.21691176470588236,0.2059748427672956,0.06841339155749636,0.012717391304347824,2061
demand_surge,1,118405657,0.8799399699849925,0.18659329664832416,0.34414953586932845,0.6935869565217392,8,0.003260869565217391,0.32717391304347826,4.1412622143117375,0.15217391304347827,0.1927860696517413,0.208398133748056,0.064032016008004,0.017934782608695653,1999
demand_surge,2,1785943787,0.8918387413962635,0.18584070796460178,0.32837117389063475,0.7010869565217391,8,0.002173913043478261,0.3076086956521739,4.071575535289843,0.14768683274021352,0.18514150943396226,0.22115384615384615,0.07374631268436578,0.015217391304347827,2034
demand_surge,3,1405337156,0.8899755501222494,0.18288508557457211,0.31090122403534337,0.6919565217391304,8,0.002173913043478261,0.3065217391304348,3.969988226229133,0.1681260945709282,0.1774580335731415,0.203125,0.06454767726161369,0.01673913043478261,2045
demand_surge,4,1024730525,0.8758984187829421,0.19118351701006228,0.29864673349219806,0.6869565217391305,8,0.003260869565217391,0.29456521739130437,3.935704473148409,0.17179902755267423,0.18491484184914841,0.2175925925925926,0.06085289889793963,0.014891304347826087,2087
demand_surge,5,544785007,0.8965,0.173,0.330312411658899,0.6897826086956522,8,0.007608695652173913,0.3076086956521739,4.04773703261914,0.16013628620102216,0.1728395061728395,0.1857379767827529,0.062,0.01423913043478261,2000
demand_surge,6,164178376,0.8780727630285152,0.1902654867256637,0.3026754595639528,0.6804347826086956,8,0.002173913043478261,0.28804347826086957,3.965804251462441,0.1377049180327869,0.21517412935323382,0.20967741935483872,0.06047197640117994,0.018369565217391304,2034
demand_surge,7,1831716506,0.8804294777940459,0.19326500732064422,0.34700224184998374,0.6915217391304347,8,0.005434782608695652,0.31630434782608696,4.053831618686721,0.19444444444444445,0.17028985507246377,0.2233169129720854,0.06637384089799903,0.015434782608695652,2049
demand_surge,8,1451109875,0.8887785501489573,0.18570009930486595,0.2767409625575343,0.6807608695652173,8,0.0010869565217391304,0.26956521739130435,3.947027221344192,0.17035775127768313,0.1753958587088916,0.2145214521452145,0.06554121151936444,0.018369565217391304,2014
demand_surge,9,1070503244,0.8702252693437806,0.21302644466209597,0.35108848760662176,0.686304347826087,8,0.002173913043478261,0.3239130434782609,4.071647320732314,0.1875,0.19312796208530805,0.2700348432055749,0.07247796278158668,0.018369565217391304,2042
demand_surge,10,590557726,0.8715192965315095,0.205666829506595,0.3617468707069547,0.6955434782608697,7,0.0,0.33804347826086956,4.107726816453967,0.18935837245696402,0.18688118811881188,0.24833333333333332,0.07083536883243771,0.018369565217391304,2047
demand_surge,11,209951095,0.8703976435935199,0.20029455081001474,0.31722920389700526,0.6948913043478261,8,0.004347826086956522,0.3,4.132835312275071,0.19166666666666668,0.1920374707259953,0.22126929674099485,0.06676485027000491,0.016304347826086956,2037
demand_surge,12,1877489225,0.8683068017366136,0.21128798842257598,0.3652496577747557,0.6992391304347827,8,0.003260869565217391,0.33369565217391306,4.090199380002382,0.1825657894736842,0.20783847980997625,0.24398073836276082,0.07380607814761216,0.016956521739130433,2073
demand_surge,13,1496882594,0.8679430535100638,0.20814923907707414,0.2998488228662778,0.6870652173913043,8,0.0010869565217391304,0.29782608695652174,4.062226138554585,0.20376175548589343,0.19640718562874251,0.23049645390070922,0.0662739322533137,0.021630434782608697,2037
demand_surge,14,1016937076,0.8869018849685839,0.1889801836636056,0.31438546416664787,0.6843478260869565,8,0.002173913043478261,0.29347826086956524,3.9385014601472,0.1921875,0.18115942028985507,0.19633943427620631,0.06863218946350894,0.016956521739130433,2069
demand_surge,15,636330445,0.8731521220791607,0.19074868860276586,0.32849467185381803,0.6988043478260869,8,0.002173913043478261,0.3108695652173913,4.0485932176462756,0.1594896331738437,0.21058965102286403,0.19561815336463223,0.05913209346685742,0.018260869565217393,2097
demand_surge,16,255723814,0.8915722030556925,0.17151306062099556,0.2792656605779164,0.6766304347826086,8,0.002173913043478261,0.26956521739130435,3.936684536124397,0.16020236087689713,0.17097170971709716,0.18298555377207062,0.0586495810744209,0.012282608695652173,2029
demand_surge,17,1923261944,0.855232826187183,0.21484555094513602,0.35671228770697805,0.7050000000000001,8,0.004347826086956522,0.33695652173913043,4.044997326942536,0.19129082426127528,0.20622119815668202,0.24924012158054712,0.06408483171968649,0.01608695652173913,2169
demand_surge,18,1542655313,0.8683702989392478,0.20588235294117646,0.38384149516928234,0.7003260869565217,8,0.002173913043478261,0.3391304347826087,4.160305079565737,0.1892744479495268,0.19362745098039216,0.2387820512820513,0.06894889103182257,0.01565217391304348,2074
demand_surge,19,1062709795,0.8722382324687801,0.202209414024976,0.30023731438912254,0.6856521739130435,7,0.0,0.30869565217391304,3.9410570910156455,0.1856,0.20342857142857143,0.218213058419244,0.06676272814601344,0.017065217391304347,2082
demand_surge,20,682103164,0.8751233958538993,0.18460019743336623,0.3427587433402876,0.6797826086956523,8,0.006521739130434782,0.29782608695652174,4.046873506147365,0.1750788643533123,0.18489583333333334,0.19391025641025642,0.051826258637709774,0.01565217391304348,2026
demand_surge,21,202157646,0.8761490082244799,0.19835510401548137,0.3336232188752546,0.7009782608695652,8,0.003260869565217391,0.3108695652173913,4.074196278969483,0.17683881064162754,0.19176470588235295,0.23183391003460208,0.06918238993710692,0.018478260869565215,2067
demand_surge,22,1969034663,0.8843734881470731,0.18384131591678762,0.3557819214607613,0.6940217391304347,7,0.0,0.3184782608695652,4.008982106553403,0.1813953488372093,0.16645807259073842,0.2086677367576244,0.061925495887760036,0.015869565217391305,2067
demand_surge,23,1588428032,0.884634266077565,0.18998527245949925,0.34814223090055835,0.6997826086956522,7,0.0,0.3239130434782609,4.136878939608345,0.2,0.1724137931034483,0.2031496062992126,0.06578301423662249,0.015869565217391305,2037
demand_surge,24,1108482514,0.8615965989607935,0.22201228153046765,0.37838847956379473,0.7050000000000001,8,0.004347826086956522,0.3456521739130435,4.108096310106275,0.20298507462686566,0.21909424724602203,0.24603174603174602,0.07416154936230515,0.020108695652173915,2117
demand_surge,25,727875883,0.8769455252918288,0.19795719844357976,0.28635658090075383,0.6843478260869565,8,0.0010869565217391304,0.2967391304347826,3.9308915024680213,0.17307692307692307,0.211864406779661,0.20462046204620463,0.06712062256809338,0.014891304347826087,2056
demand_surge,26,247930365,0.8723196881091618,0.19298245614035087,0.3574712119811397,0.6881521739130435,8,0.004347826086956522,0.3173913043478261,4.1146541857955095,0.16719745222929935,0.19006211180124225,0.22294022617124395,0.06042884990253411,0.01576086956521739,2052
demand_surge,27,2014807382,0.8968023255813954,0.17054263565891473,0.2818040152772899,0.6941304347826086,8,0.0010869565217391304,0.29891304347826086,3.8872798950451637,0.1724137931034483,0.1721105527638191,0.16638935108153077,0.05910852713178295,0.01608695652173913,2064
demand_surge,28,1534861864,0.8914342629482072,0.18276892430278885,0.32198415782555095,0.6866304347826087,7,0.0,0.3010869565217391,4.01678736394823,0.13851351351351351,0.19851116625310175,0.20491803278688525,0.06623505976095617,0.018152173913043478,2008
demand_surge,29,1154255233,0.8756050338818974,0.19699903194578897,0.3479153514232241,0.6953260869565218,8,0.004347826086956522,0.3130434782608696,4.067495559233485,0.1696,0.19829683698296838,0.22294022617124395,0.06727976766698936,0.014021739130434783,2066
priority_demand_surge,0,537502085,0.8691902252036416,0.2093914710110206,0.3608453019999862,0.6990217391304349,8,0.0010869565217391304,0.35,4.099765537210606,0.24224519940915806,0.20405576679340937,0.18035426731078905,0.07235265931959751,0.01891304347826087,2087
priority_demand_surge,1,156895454,0.8602661596958175,0.21435361216730037,0.4016817546265779,0.7040217391304349,8,0.010869565217391304,0.3858695652173913,4.170832634726029,0.2617960426179604,0.20281359906213364,0.17845117845117844,0.0679657794676806,0.016195652173913045,2104
